question,correct,wrong1,wrong2,wrong3
"Which of the following is an irrational number?","\(\sqrt{8}\)","\(\sqrt{0.09}\)","\(2.\overline{7}\)","\(27^{-1/3}\)"
"Which set represents the intersection of the intervals \((-3, 5]\) and \([0, 7)\)?","\([0, 5]\)","\((-3, 7)\)","\([0, 5)\)","\((0, 5]\)"
"Evaluate: \( (3^{-1} - 2^{-1})^{-1} \).","\(-6\)","\(6\)","\(1/6\)","\(-1/6\)"
"If \(x\) is a real number such that \(|x| < 3\), which inequality describes \(x\)?","\(-3 < x < 3\)","\(x < 3\)","\(x > -3\)","\(x < -3 \text{ or } x > 3\)"
"Simplify the expression \(\sqrt{75} - \sqrt{12}\).","\(3\sqrt{3}\)","\(\sqrt{63}\)","\(2\sqrt{3}\)","\(5\sqrt{3}\)"
"Which statement is true for all real numbers \(a\) and \(b\)?","\(\sqrt{a^2 + b^2} \neq a + b\) (unless one is 0)","\((a+b)^2 = a^2 + b^2\)","\(\sqrt{a^2} = a\)","\(\frac{1}{a+b} = \frac{1}{a} + \frac{1}{b}\)"
"Order the following numbers from smallest to largest: \(a = 0.2\), \(b = 1/4\), \(c = (0.2)^2\).","\(c < a < b\)","\(a < c < b\)","\(c < b < a\)","\(a < b < c\)"
"The price of an item is increased by 20% and then the new price is decreased by 20%. The final price is:","4% lower than the original price","Equal to the original price","4% higher than the original price","20% lower than the original price"
"Calculate: \(\frac{2.4 \times 10^5}{6.0 \times 10^{-2}}\).","\(4.0 \times 10^6\)","\(0.4 \times 10^3\)","\(4.0 \times 10^7\)","\(4.0 \times 10^3\)"
"What is the value of \(8^{2/3} \cdot 16^{-1/2}\)?","\(1\)","\(2\)","\(4\)","\(1/2\)"
"Find the domain of the function \(f(x) = \sqrt{2x - 6}\).","\(x \geq 3\)","\(x > 3\)","\(x \leq 3\)","\(x \neq 3\)"
"Determine the domain of \(f(x) = \frac{1}{x^2 - 1}\).","\((-\infty, -1) \cup (-1, 1) \cup (1, \infty)\)","\(x \neq 1\)","\((-1, 1)\)","\(\mathbb{R}\)"
"What is the domain of \(f(x) = \ln(x+2)\)?","\(x > -2\)","\(x \geq -2\)","\(x > 0\)","\(x \neq -2\)"
"Simplify the algebraic fraction: \(\frac{x^3 - 8}{x - 2}\).","\(x^2 + 2x + 4\)","\(x^2 - 2x + 4\)","\(x^2 - 4\)","\(x^2 + 4\)"
"Solve the inequality: \(x^2 - 9 < 0\).","\(-3 < x < 3\)","\(x < 3\)","\(x < -3 \text{ or } x > 3\)","\(x > 3\)"
"Which of the following values is NOT in the domain of \(f(x) = \sqrt{\frac{x-1}{x+3}}\)?","\(0\)","\(1\)","\(5\)","\(-4\)"
"Solve the exponential equation: \(2^{x+1} = \frac{1}{8}\).","\(x = -4\)","\(x = -3\)","\(x = -2\)","\(x = 4\)"
"Solve the inequality: \(e^{2x} > e^x\).","\(x > 0\)","\(x > 1\)","\(x < 0\)","All real \(x\)"
"Find the solution set for: \(\log_2(x) + \log_2(2) = 4\).","\(x = 8\)","\(x = 4\)","\(x = 16\)","\(x = 6\)"
"Which expression is equivalent to \(\ln(e^x \cdot e^y)\)?","\(x + y\)","\(xy\)","\(e^{x+y}\)","\(\ln(x+y)\)"
"What is the domain of \(f(x) = \log_{10}(1 - x^2)\)?","\(-1 < x < 1\)","\(x < 1\)","\(x > 1 \text{ or } x < -1\)","\(x \neq \pm 1\)"
"Solve the inequality: \(\frac{2}{x} > 1\).","\(0 < x < 2\)","\(x < 2\)","\(x > 2\)","\(x > 0\)"
"Find the value of \(\sin(\frac{\pi}{6}) + \cos(\frac{\pi}{3})\).","\(1\)","\(\frac{\sqrt{3}+1}{2}\)","\(\sqrt{3}\)","\(\frac{1}{2}\)"
"Which of the following is true for an angle \(x\) in the second quadrant (\(\frac{\pi}{2} < x < \pi\))?","\(\sin(x) > 0, \cos(x) < 0\)","\(\sin(x) < 0, \cos(x) < 0\)","\(\sin(x) > 0, \cos(x) > 0\)","\(\tan(x) > 0\)"
"Simplify the expression using basic identities: \(\frac{\sin(x)}{\cos(x)} \cdot \frac{1}{\tan(x)}\).","\(1\)","\(\sin^2(x)\)","\(\cos^2(x)\)","\(\tan^2(x)\)"
"Solve the equation \(2\cos(x) - 1 = 0\) for \(0 \leq x \leq \frac{\pi}{2}\).","\(x = \frac{\pi}{3}\)","\(x = \frac{\pi}{6}\)","\(x = \frac{\pi}{4}\)","\(x = \frac{\pi}{2}\)"
"Which value is equivalent to \(\tan(45^\circ)\)?","\(1\)","\(\frac{\sqrt{2}}{2}\)","\(\sqrt{3}\)","\(0\)"
"Solve the inequality: \(\left(\frac{1}{3}\right)^x < 9\).","\(x > -2\)","\(x < -2\)","\(x > 2\)","\(x < 2\)"
"If \(\log_x(32) = 5\), what is \(x\)?","\(2\)","\(3\)","\(1\)","\(4\)"
"The domain of \(f(x) = \sqrt{e^x - 1}\) is:","\(x \geq 0\)","\(x > 0\)","\(x \geq 1\)","All real numbers"
