question,correct,wrong1,wrong2,wrong3
"Which of the following is a base quantity in the International System of Units (SI)?","Electric current","Force","Velocity","Electric charge"
"What is the dimensional formula for Force?","\([MLT^{-2}]\)" ,"\([ML^2T^{-2}]\)" ,"\([MLT^{-1}]\)" ,"\([M^0LT^{-2}]\)"
"Which of the following pairs contains only vector quantities?","Displacement and Acceleration","Speed and Velocity","Force and Work","Mass and Momentum"
"Convert \(72 \, km/h\) into \(m/s\).","\(20 \, m/s\)","\(25 \, m/s\)","\(15 \, m/s\)","\(10 \, m/s\)"
"Two vectors with magnitudes 3 and 4 are perpendicular. What is the magnitude of their resultant?","\(5\)","\(7\)","\(1\)","\(12\)"
"The order of magnitude of the number 0.0034 is:","\(10^{-3}\)","\(10^{-2}\)","\(10^{-4}\)","\(10^{3}\)"
"A car travels 100 meters North and then 100 meters East. What is the magnitude of the total displacement?","\(100\sqrt{2} \, m\)","\(200 \, m\)","\(0 \, m\)","\(100 \, m\)"
"Which of the following equations is dimensionally consistent (where \(x\) is distance, \(v\) is velocity, \(a\) is acceleration, \(t\) is time)?","\(x = \frac{1}{2}at^2\)","\(v = ax\)","\(t = \sqrt{a/x}\)","\(v^2 = 2ax^2\)"
"An object moves with constant velocity. Which statement is true?","The acceleration is zero.","The displacement is always zero.","The speed changes direction.","The average velocity is different from instantaneous velocity."
"A car accelerates from rest at \(2 \, m/s^2\). How long does it take to reach a speed of \(20 \, m/s\)?","\(10 \, s\)","\(5 \, s\)","\(40 \, s\)","\(20 \, s\)"
"If the velocity of a particle is given by \(v(t) = 4 - 2t\), at what time does the particle stop?","\(2 \, s\)","\(4 \, s\)","\(1 \, s\)","\(0 \, s\)"
"An object is dropped from a height. If air resistance is neglected, the distance fallen is proportional to:","\(t^2\)","\(t\)","\(\sqrt{t}\)","\(1/t\)"
"A stone is dropped from a tower and reaches the ground in 4 seconds. What is the height of the tower? (Assume \(g = 10 \, m/s^2\))","\(80 \, m\)","\(40 \, m\)","\(160 \, m\)","\(20 \, m\)"
"An object is thrown vertically upwards with a speed of \(30 \, m/s\). How much time does it take to return to the thrower's hand? (Assume \(g = 10 \, m/s^2\))","\(6 \, s\)","\(3 \, s\)","\(1.5 \, s\)","\(9 \, s\)"
"What represents the area under a Velocity-Time graph?","Displacement","Acceleration","Speed","Force"
"A car traveling at \(v\) stops in distance \(d\) under constant braking. If the initial speed was \(2v\), the stopping distance would be:","\(4d\)","\(2d\)","\(d/2\)","\(d\)"
"In a projectile motion (neglecting air resistance), which component of velocity remains constant?","The horizontal component","The vertical component","Both components","Neither component"
"A projectile is fired at an angle of \(45^\circ\) with initial velocity \(v_0\). What is its range?","\(v_0^2/g\)","\(v_0^2/2g\)","\(2v_0/g\)","\(v_0/g\)"
"At the maximum height of a projectile's trajectory, the velocity vector is:","Horizontal","Zero","Vertical","At \(45^\circ\) to the horizontal"
"If a ball is thrown horizontally from a cliff with speed \(v\) and another is dropped from the same height simultaneously:","Both hit the ground at the same time.","The thrown ball hits the ground first.","The dropped ball hits the ground first.","It depends on the mass of the balls."
"For a projectile, the maximum range is obtained when the angle of projection is:","\(45^\circ\)","\(30^\circ\)","\(60^\circ\)","\(90^\circ\)"
"A particle moves in a circle of radius \(r\) with constant speed \(v\). What is its centripetal acceleration?","\(v^2/r\)","\(v/r\)","\(v^2 r\)","\(r/v\)"
"If the period of a uniform circular motion is doubled, the angular velocity:","Is halved","Doubles","Remains the same","Quadruples"
"A car moves around a circular track of radius \(100 \, m\) at a constant speed of \(20 \, m/s\). What is the angular velocity?","\(0.2 \, rad/s\)","\(5 \, rad/s\)","\(0.02 \, rad/s\)","\(2000 \, rad/s\)"
"In uniform circular motion, the velocity vector and acceleration vector are always:","Perpendicular to each other","Parallel to each other","In opposite directions","At \(45^\circ\) to each other"
"An object travels half a circle of radius \(R\). What is the magnitude of its displacement?","\(2R\)","\(\pi R\)","\(R\)","\(0\)"
"A swimmer crosses a river flowing at \(3 \, m/s\) by swimming perpendicular to the current at \(4 \, m/s\). What is the swimmer's speed relative to the ground?","\(5 \, m/s\)","\(7 \, m/s\)","\(1 \, m/s\)","\(\sqrt{7} \, m/s\)"
"Which derived unit corresponds to the product of Mass and Acceleration?","Newton","Joule","Watt","Pascal"
"An object starts from rest and accelerates with constant acceleration \(a = 4 \, m/s^2\). What distance does it cover in \(3 \, s\)?","\(18 \, m\)","\(12 \, m\)","\(36 \, m\)","\(6 \, m\)"
"A wheel rotates with a frequency of \(2 \, Hz\). What is its period?","\(0.5 \, s\)","\(2 \, s\)","\(0.25 \, s\)","\(4 \pi \, s\)"
